Marital status,Application mode,Course,Daytime/evening attendance	,Previous qualification,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder
0,7,1,1,0,12,9,5,9,1,0,1,1,0
0,5,10,1,0,0,2,3,3,1,0,0,1,0
0,0,4,1,0,21,26,9,9,1,0,0,1,0
0,7,14,1,0,22,26,5,3,1,0,1,0,0
1,11,2,0,0,21,27,9,9,0,0,1,0,0
1,11,16,0,11,21,26,9,7,0,1,1,1,0
0,0,11,1,0,12,27,7,10,1,0,1,0,1
0,8,10,1,0,21,26,9,9,1,0,0,1,0
0,0,9,1,0,0,0,9,9,0,0,1,0,1
0,0,9,1,0,0,13,4,7,1,1,0,0,0
0,0,13,1,0,22,13,5,7,1,0,1,0,0
0,0,11,1,0,12,27,9,9,1,0,1,0,1
0,0,15,1,0,12,26,4,9,1,0,1,0,0
0,16,10,1,15,0,0,4,7,1,0,1,0,1
0,0,5,1,0,22,26,5,5,1,0,1,0,1
0,0,14,1,0,12,26,9,3,1,0,1,0,0
0,8,9,1,0,12,27,5,8,1,0,1,0,0
0,7,11,1,0,12,0,5,4,1,0,1,0,0
0,0,7,1,0,2,13,3,5,1,0,1,0,0
0,0,15,1,0,12,13,7,7,1,0,1,0,0
0,0,1,1,0,0,0,9,8,0,0,1,0,1
0,8,12,1,0,0,27,4,7,1,0,1,0,0
0,0,11,1,0,12,13,1,1,1,0,1,0,0
0,0,13,1,0,0,27,4,7,1,0,1,0,1
0,0,11,1,0,12,13,3,7,0,0,1,0,0
0,0,9,1,0,12,27,9,9,1,1,1,0,1
0,7,9,1,0,12,27,7,8,1,0,1,0,0
0,0,5,1,0,12,13,3,3,1,0,1,0,0
0,0,8,1,0,12,0,9,9,1,0,1,0,0
0,7,11,1,0,2,2,1,10,1,0,1,1,0
0,14,3,1,13,3,4,4,2,0,0,1,1,0
0,15,4,1,0,26,2,15,21,1,0,1,1,0
0,0,8,1,0,0,0,4,6,0,0,0,1,0
0,8,2,0,0,12,0,9,5,1,0,1,0,0
0,0,16,0,0,1,26,3,9,0,0,1,1,0
0,11,0,1,0,22,26,9,6,0,1,0,1,0
0,11,6,1,7,18,26,0,0,1,0,1,1,0
0,13,8,1,0,21,26,6,6,0,0,1,0,0
3,11,16,0,0,12,13,9,3,1,0,1,0,0
0,14,7,1,13,3,3,3,6,0,1,0,0,0
0,0,14,1,0,2,2,2,2,0,1,1,0,0
0,0,8,1,0,2,13,2,7,1,0,1,0,0
0,0,11,1,0,0,2,2,2,1,0,1,0,0
0,7,14,1,0,0,27,5,5,0,0,0,0,0
0,11,16,0,0,21,26,9,9,0,0,1,0,0
0,7,16,0,0,22,27,4,5,0,0,1,0,0
0,7,9,1,0,12,13,9,9,1,0,1,0,0
0,7,11,1,0,21,13,7,7,1,0,1,0,1
0,14,2,0,13,0,13,9,9,0,0,1,0,1
0,0,9,1,0,21,27,9,9,0,0,1,0,1
0,11,10,1,0,12,27,9,7,0,0,1,0,1
0,0,11,1,0,21,27,6,6,1,0,1,0,1
0,0,14,1,0,0,13,7,7,1,0,1,0,1
0,0,7,1,0,21,26,11,11,0,0,1,0,0
0,11,16,0,0,22,27,9,9,0,0,1,0,0
0,0,11,1,0,0,13,5,5,1,0,1,0,0
1,3,10,1,2,0,2,4,3,0,0,1,0,0
0,11,7,1,14,2,2,2,2,1,0,1,0,0
0,7,11,1,0,22,27,7,10,1,0,1,0,0
0,0,1,1,0,22,26,4,9,1,0,1,0,0
0,0,11,1,0,12,13,9,9,0,0,1,0,0
0,14,9,1,13,12,0,9,9,0,0,1,0,1
0,7,1,1,0,0,26,4,7,1,0,1,1,1
0,7,4,1,0,0,0,3,4,1,0,1,1,0
0,13,4,1,0,0,0,3,3,0,0,1,1,0
3,12,11,1,11,0,0,5,5,1,0,1,1,0
0,0,1,1,0,12,13,5,3,1,0,1,1,1
0,14,3,1,13,12,26,9,9,1,0,1,1,0
0,0,8,1,0,0,27,7,7,0,1,1,1,0
0,11,10,1,0,12,26,7,10,0,0,1,1,0
0,7,8,1,0,22,26,5,5,0,0,1,1,0
0,7,11,1,0,21,13,8,4,0,0,1,1,0
0,0,1,1,0,12,13,5,10,1,0,1,1,0
0,7,10,1,0,22,26,5,7,1,0,1,1,0
0,0,14,1,0,22,27,9,9,1,0,1,1,0
0,7,8,1,0,12,13,4,7,1,1,1,1,0
0,8,10,1,0,12,26,7,7,1,0,1,1,1
0,7,14,1,0,0,13,9,8,1,1,1,1,1
0,7,11,1,0,22,26,9,9,0,0,1,1,1
1,11,2,0,0,21,26,9,6,0,0,1,1,0
0,0,15,1,0,12,13,9,9,1,0,1,1,0
0,11,16,0,1,2,2,2,2,1,0,1,1,0
0,11,3,1,3,2,2,4,2,0,1,1,1,0
0,7,10,1,0,12,13,4,4,0,0,1,1,0
1,11,2,0,0,21,26,9,6,1,0,1,0,0
0,12,11,1,0,21,27,9,7,1,0,1,0,1
0,11,13,1,0,0,13,4,5,0,0,1,0,1
0,7,4,1,0,12,27,4,0,1,0,1,1,0
0,0,8,1,0,22,26,9,9,1,0,1,1,0
0,13,6,1,0,22,13,9,6,1,1,1,1,0
0,11,11,1,0,0,0,4,10,0,0,1,1,0
0,7,14,1,0,12,0,9,9,1,0,0,0,0
0,5,7,1,0,0,0,4,4,0,0,1,0,0
1,11,15,1,7,21,23,0,0,0,0,1,0,0
1,11,2,0,0,21,13,9,9,0,0,1,0,0
0,5,6,1,0,22,2,9,2,1,0,1,1,0
0,0,14,1,0,21,0,5,5,1,0,1,0,0
0,0,11,1,0,21,26,7,7,1,0,1,0,1
0,0,5,1,0,0,1,9,1,1,0,1,0,0
0,0,11,1,0,2,2,2,2,1,1,0,0,0
0,16,5,1,15,22,27,9,9,0,0,1,0,0
0,0,1,1,0,0,0,9,10,1,0,1,0,0
1,11,2,0,0,21,26,6,5,1,0,1,0,0
3,11,3,1,8,21,26,9,6,0,0,1,0,0
0,8,15,1,0,12,13,9,7,1,0,1,0,0
0,15,4,1,0,2,0,2,8,0,1,1,0,0
0,0,9,1,0,21,27,4,7,1,0,1,0,0
0,0,5,1,0,0,0,4,4,1,0,1,0,0
0,0,11,1,0,2,3,4,3,1,0,1,0,0
0,7,15,1,0,12,0,9,3,1,0,1,0,0
0,0,9,1,0,21,26,6,7,1,0,1,0,0
0,7,8,1,0,0,27,4,7,1,0,1,0,1
0,0,5,1,0,12,13,9,9,1,0,1,0,0
0,0,14,1,0,0,27,4,7,1,0,1,0,0
0,7,11,1,0,21,26,9,9,1,0,1,0,0
0,13,11,1,0,22,27,9,5,0,0,1,0,0
0,7,9,1,0,12,26,9,7,1,0,1,0,1
0,7,8,1,0,12,13,3,3,0,0,1,0,0
0,0,5,1,0,21,27,9,7,0,0,1,0,0
0,0,8,1,0,1,13,4,5,0,0,1,0,0
0,7,10,1,0,0,0,4,5,1,0,1,0,0
0,0,8,1,0,12,13,9,7,1,0,1,0,0
0,0,1,1,0,2,13,2,9,0,0,1,0,0
0,0,13,1,0,22,27,9,9,0,0,1,0,1
0,0,5,1,0,12,27,4,7,1,0,1,0,0
0,7,12,1,0,0,0,4,5,1,0,1,0,0
0,14,5,1,13,21,26,9,9,1,0,1,0,0
0,0,15,1,0,12,27,9,3,1,0,1,0,1
0,7,9,1,0,0,28,5,3,1,0,1,0,0
0,7,11,1,0,0,26,8,9,1,0,1,0,0
0,0,11,1,0,12,13,5,8,1,0,1,0,1
0,7,4,1,0,21,26,9,9,1,0,1,0,0
0,0,8,1,0,0,13,4,8,1,0,1,0,0
0,7,11,1,0,0,13,3,3,1,0,1,0,0
0,13,9,1,0,22,26,9,7,0,0,1,0,0
0,0,13,1,0,0,27,3,9,0,1,0,0,1
0,7,13,1,0,12,13,5,5,1,0,1,0,0
0,0,14,1,0,0,0,19,38,0,1,1,0,1
0,0,11,1,0,12,0,4,7,0,0,1,0,1
0,8,11,1,0,12,0,4,8,0,0,1,0,0
0,0,11,1,0,21,26,9,9,1,0,1,0,0
0,0,14,1,0,12,0,4,4,1,0,1,0,1
0,15,8,1,0,2,0,3,3,1,1,0,0,0
0,0,9,1,0,0,9,9,10,1,0,1,0,1
0,0,11,1,0,12,13,9,7,1,0,1,0,1
0,7,15,1,0,21,27,5,6,1,0,1,0,1
0,0,10,1,0,9,13,9,9,1,0,1,0,0
0,7,10,1,0,0,26,9,10,1,0,1,0,0
0,0,8,1,0,2,13,2,10,0,0,1,0,0
0,0,11,1,0,0,13,9,9,0,0,1,0,1
0,0,1,1,0,2,26,2,8,1,0,1,0,0
0,0,5,1,0,0,27,4,7,0,0,1,0,0
0,7,15,1,0,22,27,7,6,1,0,1,0,0
0,0,15,1,0,21,26,9,9,1,0,1,0,0
0,13,15,1,0,2,26,2,5,1,0,1,0,0
0,0,15,1,0,22,26,6,6,0,0,1,0,0
0,0,8,1,0,22,27,9,9,0,0,1,0,1
0,7,9,1,0,0,26,7,9,1,0,1,0,1
0,0,9,1,0,12,0,9,10,1,0,1,0,0
0,11,2,0,0,0,13,6,8,0,0,1,0,1
0,0,13,1,0,12,0,4,1,0,0,1,0,0
0,0,11,1,0,12,26,9,7,1,0,1,0,1
0,0,11,1,0,12,13,9,9,1,0,1,0,0
0,7,15,1,0,9,9,4,4,1,0,1,0,0
0,7,13,1,0,0,13,5,4,0,0,1,0,0
0,7,14,1,0,12,26,7,7,0,0,1,0,1
2,11,3,1,0,0,26,6,6,0,1,1,0,0
0,7,9,1,0,12,13,7,8,0,0,1,0,0
0,11,11,1,2,1,1,1,1,0,0,1,0,0
0,13,9,1,0,12,13,4,8,1,0,1,0,0
0,11,5,1,0,21,13,9,7,1,0,1,0,0
0,7,12,1,0,21,26,3,10,0,0,1,0,0
0,7,11,1,0,1,27,4,5,1,0,1,0,0
0,12,2,0,0,12,1,4,6,0,0,1,0,0
0,7,10,1,0,21,26,9,8,1,1,0,0,0
0,0,13,1,0,21,26,9,9,1,0,1,0,1
0,11,15,1,0,21,13,9,5,0,0,1,0,0
0,0,11,1,0,18,23,11,11,1,0,1,0,0
0,0,15,1,0,21,13,9,5,1,0,1,0,0
0,3,11,1,2,0,0,9,5,0,0,1,0,0
0,13,15,1,0,2,0,3,3,1,0,1,0,0
0,14,16,0,13,21,13,9,8,0,0,1,0,1
0,11,14,1,11,12,13,3,4,0,1,0,0,0
0,8,4,1,0,0,26,5,5,1,0,0,0,0
0,7,10,1,0,0,13,4,6,0,0,1,0,0
0,8,8,1,0,2,2,5,7,1,1,0,0,0
0,13,9,1,0,0,26,5,9,0,1,0,0,0
0,7,11,1,0,22,0,9,4,1,0,1,0,1
0,11,5,1,0,0,13,9,9,1,0,1,0,0
0,7,4,1,0,0,2,4,1,1,0,1,0,0
0,0,10,1,0,12,27,9,8,0,0,1,0,1
0,0,2,0,0,0,26,7,3,0,0,1,0,0
0,11,8,1,0,9,2,4,3,1,0,1,0,0
0,15,15,1,0,0,0,4,10,0,0,1,0,0
0,0,11,1,0,22,27,9,8,1,0,1,0,0
0,11,16,0,14,12,0,3,4,1,0,1,0,0
0,8,11,1,0,21,26,5,5,1,0,1,0,0
0,3,6,1,2,2,1,2,2,0,0,1,0,0
0,0,15,1,0,12,13,3,8,0,0,1,0,0
0,11,11,1,0,0,2,27,18,0,0,1,0,0
0,0,5,1,0,0,0,4,7,1,0,1,0,0
0,0,9,1,0,12,13,4,0,1,0,1,0,0
0,0,11,1,0,12,13,7,7,1,0,1,0,0
0,14,9,1,13,22,27,5,10,0,1,1,0,0
0,7,9,1,0,12,26,9,8,0,0,1,0,1
